StopName,Routes...
东方绿舟站,朱家角8路,青金线,金泽7路,青商线,示范区1路
东方美谷大道万顺路,浦亭线,金汇2线
东方美谷大道庆园路,奉贤40路
东方美谷大道望园路,浦亭线,奉贤40路
东方美谷大道沿钱公路,南航线,金汇2线
东方美谷大道浦星公路,浦亭线,金汇2线,南航线
东方美谷大道环城东路,奉贤39路,奉贤40路
东方美谷大道环城西路,奉贤16路
东方美谷大道肖翁路,奉贤16路
东方美谷大道远东路,奉贤39路,奉贤40路
东方美谷大道金海公路,浦亭线,奉贤40路
东方美谷大道金钱公路,浦亭线
东方美谷大道陈桥路,奉贤39路,奉贤40路
东方路三里桥路,984路,871路
东方路东三里桥路,浦东73路,974路,980路,871路
东方路东方村,香花桥1路
东方路临沂路,浦东73路,974路,119路,734路
东方路乳山路,975路,746路,819路,浦东73路,610路,597路,970路,870路,隧道八线,871路
东方路兰陵路,974路,980路,992路,871路
东方路峨山路,浦东73路,639路,746路,819路,583路,浦东106路,浦东4路,785路,798路,970路,871路
东方路张杨路,819路,779路,610路,浦东73路,597路,970路,隧道八线,871路
东方路栖霞路,819路,779路,610路,浦东73路,隧道八线
东方路汗泾桥,香花桥1路
东方路浦三路,780路,974路,988路,980路,338路,徐川专线,734路,715路,871路
东方路浦东南路,隧道二线
东方路浦建路,974路,980路,984路,浦东73路,871路,795路
东方路浦电路,浦东73路,736路,583路,746路,819路,639路,779路,785路,610路,浦东4路,970路,871路
东方路潍坊路,639路,987路,746路,819路,浦东73路,785路,浦东4路,980路,970路,871路
