RouteName,Direction,StopCount
南梅线,上行,2
南梅线,下行,2
南江专线,上行,21
南江专线,下行,21
南海二线,上行,29
南海二线,下行,29
南海线,上行,33
南海线,下行,33
南牛线,上行,33
南牛线,下行,32
南牛线（区间）,上行,29
南牛线（区间）,下行,28
南红专线,上行,31
南红专线,下行,31
南航线,上行,32
南航线,下行,29
南裕专线,上行,24
南裕专线,下行,24
南跃线,上行,16
南跃线,下行,29
南金线,上行,19
南金线,下行,19
南隆专线,上行,21
南隆专线,下行,21
南隆专线（区间）,上行,20
南隆专线（区间）,下行,20
南风线,上行,20
南风线,下行,20
南龙专线,上行,50
南龙专线,下行,51
古美环线,上行,22
古美环线,下行,26
合庆1路,上行,11
合庆1路,下行,11
合庆2路,上行,27
合庆2路,下行,25
吴淞滨江线,上行,15
吴淞滨江线,下行,17
周康10路,上行,24
周康10路,下行,24
周康4路,上行,15
周康4路,下行,16
周康5路,上行,28
周康5路,下行,30
周康9路,上行,24
周康9路,下行,23
嘉五线,上行,2
嘉五线,下行,2
嘉定101路,上行,25
嘉定101路,下行,24
嘉定102路,上行,26
嘉定102路,下行,26
嘉定103路,上行,28
嘉定103路,下行,28
嘉定104路,上行,26
嘉定104路,下行,25
嘉定105路,上行,16
嘉定105路,下行,16
嘉定106路,上行,25
嘉定106路,下行,25
嘉定107路,上行,27
嘉定107路,下行,27
嘉定107路B线,上行,25
嘉定107路B线,下行,25
嘉定108路,上行,20
嘉定108路,下行,20
嘉定109路,上行,14
嘉定109路,下行,14
嘉定10路,上行,21
嘉定10路,下行,21
嘉定110路,上行,11
嘉定110路,下行,11
嘉定111路,上行,19
嘉定111路,下行,19
嘉定112路,上行,28
嘉定112路,下行,28
嘉定113路,上行,22
嘉定113路,下行,23
嘉定114路,上行,14
嘉定114路,下行,14
嘉定114路区间,上行,12
嘉定114路区间,下行,12
嘉定115路,上行,21
嘉定115路,下行,23
嘉定116路,上行,21
嘉定116路,下行,20
嘉定117路,上行,22
嘉定117路,下行,23
嘉定118路,上行,22
嘉定118路,下行,22
嘉定119路,上行,15
嘉定119路,下行,15
嘉定11路,上行,21
嘉定11路,下行,21
嘉定120路,上行,15
嘉定120路,下行,15
嘉定121路,上行,14
嘉定121路,下行,12
嘉定121路B线,上行,10
嘉定121路B线,下行,9
嘉定123路,上行,17
嘉定123路,下行,17
嘉定125路,上行,18
嘉定125路,下行,19
嘉定126路,上行,14
嘉定126路,下行,13
嘉定127路,上行,19
嘉定127路,下行,19
嘉定128路,上行,15
嘉定128路,下行,19
嘉定129路,上行,12
嘉定129路,下行,12
嘉定12路,上行,15
嘉定12路,下行,15
嘉定131路,上行,31
嘉定131路,下行,32
嘉定132路,上行,18
嘉定132路,下行,18
嘉定133路,上行,16
嘉定133路,下行,13
嘉定134路,上行,2
嘉定134路,下行,2
嘉定135路,上行,12
嘉定135路,下行,13
嘉定13路,上行,16
嘉定13路,下行,17
嘉定14路,上行,22
嘉定14路,下行,22
嘉定15路,上行,25
嘉定15路,下行,25
嘉定17路,上行,12
嘉定17路,下行,11
嘉定18路,上行,19
嘉定18路,下行,19
嘉定1路,上行,26
嘉定1路,下行,25
嘉定20路,上行,9
嘉定21路,下行,9
嘉定22路,上行,19
嘉定22路,下行,19
嘉定2路,上行,28
嘉定2路,下行,20
嘉定3路,上行,20
嘉定3路,下行,19
嘉定4路,上行,28
嘉定4路,下行,28
嘉定51路,上行,16
嘉定51路,下行,17
嘉定52路,上行,25
嘉定52路,下行,26
嘉定53路,上行,19
嘉定53路,下行,19
